87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG34.PA11,1_food_diet_healthy_diets,1.0,1,0,0.0,food,diet,healthy,diets,foods,cost,insecurity,nutrition,dietary,income
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG34.PA13,4_fisheries_fishing_aquaculture_marine,1.0,4,0,0.0,fisheries,fishing,aquaculture,marine,fish,fishers,management,stocks,fishery,coastal
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG34.PA14,3_water_groundwater_resources_irrigation,0.5920508066627034,3,0,0.0,water,groundwater,resources,irrigation,river,management,supply,freshwater,basin,hydropower
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG34.PA16,13_forest_forests_wood_timber,1.0,13,0,0.0,forest,forests,wood,timber,forestry,logging,deforestation,asia,management,production
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG39.PA6,78_mangrove_mangroves_coastal_forests,0.3581187687691959,78,0,0.0,mangrove,mangroves,coastal,forests,ecosystems,wetlands,restoration,marshes,in,salt
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG42.PA4,13_forest_forests_wood_timber,0.9758121926195831,13,0,0.0,forest,forests,wood,timber,forestry,logging,deforestation,asia,management,production
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG44.PA53,13_forest_forests_wood_timber,0.9278278254577255,13,0,0.0,forest,forests,wood,timber,forestry,logging,deforestation,asia,management,production
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG45.PA1,4_fisheries_fishing_aquaculture_marine,1.0,4,0,0.0,fisheries,fishing,aquaculture,marine,fish,fishers,management,stocks,fishery,coastal
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG45.PA3,3_water_groundwater_resources_irrigation,0.4125842370719053,3,0,0.0,water,groundwater,resources,irrigation,river,management,supply,freshwater,basin,hydropower
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG46.PA4,3_water_groundwater_resources_irrigation,0.5526271669341798,3,0,0.0,water,groundwater,resources,irrigation,river,management,supply,freshwater,basin,hydropower
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG48.PA5,49_species_extinction_threatened_red,0.7813221575965853,49,0,0.0,species,extinction,threatened,red,list,iucn,taxonomic,extinct,endangered,risk
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG48.PA6,49_species_extinction_threatened_red,0.8568807740849302,49,0,0.0,species,extinction,threatened,red,list,iucn,taxonomic,extinct,endangered,risk
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG49.PA2,49_species_extinction_threatened_red,0.7052619654517525,49,0,0.0,species,extinction,threatened,red,list,iucn,taxonomic,extinct,endangered,risk
